time,seconds_elapsed,z,y,x
1691528152768595000,0.019594970703125,0.09565233107209205,-0.07371873168349266,-0.01506751301139593
1691528152778645000,0.02964501953125,0.07410217804312706,-0.045535424250364304,-0.006423603306710719
1691528152788695000,0.039695068359375,0.037203503104299304,-0.005146715238690376,0.007911065385490655
1691528152798745000,0.0497451171875,0.035776100649684665,0.00817512314915657,-0.0075907473899424075
1691528152808795000,0.059794921875,0.019414163913577795,0.010114566779136656,-0.03787424197271466
1691528152818845000,0.069844970703125,0.017598638924211263,0.025627777731418607,-0.01859086483195424
1691528152828895000,0.07989501953125,0.09558657235950231,0.009324877706170081,0.011215806019306182
1691528152838945000,0.089945068359375,0.12103797061070799,0.05547931063771248,0.053110097288340326
1691528152848995000,0.0999951171875,0.08080664411783219,0.04736147063374519,0.05635200181901454
1691528152859045000,0.110045166015625,0.027442133677005768,0.02431318800151348,0.052608139115571974
1691528152869095200,0.12009521484375,-0.02014364723190665,0.0067740241795778275,0.024499212092906234
1691528152879145200,0.130145263671875,0.0012543839752674102,0.03697217856645584,-0.0440191744685173
1691528152889195000,0.140195068359375,-0.009389905766397715,0.07473404620587826,-0.08906754585430025
1691528152899245000,0.1502451171875,-0.009102174866199493,-0.009372808501124381,-0.0013470306947827339
1691528152909295000,0.160295166015625,-0.006677578067779541,-0.11038345173597335,0.09336305109113455
1691528152919345200,0.17034521484375,0.04390796917900443,-0.11121814899444579,0.06154211780801415
1691528152929395000,0.18039501953125,0.09667305242195724,-0.0338239436686039,0.041450346893817186
1691528152939445000,0.190445068359375,0.10260215020999312,-0.022170915275812147,0.026014585091918705
1691528152949495000,0.2004951171875,-0.023391543111950158,-0.015353051954507826,0.004557371043413877
1691528152959545000,0.210545166015625,-0.08212547163143753,0.010499766704440116,0.027960458462685345
1691528152969595000,0.220594970703125,-0.02996273819580674,0.018387305083870886,0.014310411033779382
1691528152979645000,0.23064501953125,0.027451632157713172,0.0018763152658939361,-0.03762728147432208
1691528152989695000,0.240695068359375,0.0391558062158525,-0.010320903006196022,-0.08469006142243743
1691528152999745000,0.2507451171875,0.024376900887489318,-0.03481412374973297,-0.06913958719968795
1691528153009795000,0.260795166015625,-0.0117640875518322,-0.03380699253380298,-0.054986850945651526
1691528153019845000,0.27084521484375,0.039967268729209894,-0.014991817426681518,-0.03393529508858919
1691528153029895200,0.280895263671875,0.10291560007333755,-0.01962882957756519,-0.02737316009402275
1691528153039945200,0.2909453125,0.08165756185874343,-0.05486088647842407,-0.04893690325692296
1691528153049995300,0.300995361328125,-0.08822071976661681,-0.10058043512403965,-0.072324939237535
1691528153060045000,0.311045166015625,-0.18143807877674697,-0.09984802919626236,-0.052003889612108466
1691528153070095000,0.32109521484375,-0.11307342147231102,-0.08813187243938446,-0.053956046593189234
1691528153080145200,0.331145263671875,-0.05317512534856796,-0.05659457840323448,-0.07259528061151505
1691528153090195200,0.3411953125,-0.0628501316666603,-0.06934767699241638,-0.10042436777949333
1691528153100245000,0.351244873046875,-0.10427519798874854,-0.08643792800307273,-0.11164572675675154
1691528153110295000,0.361294921875,-0.045657150933891534,-0.11378244652450084,-0.11779270507916807
1691528153120345000,0.371344970703125,-0.053286184507608414,-0.07408055073320866,-0.07902209878861903
1691528153130395100,0.38139501953125,-0.09856792625784873,-0.018114333361387253,-0.04312427145540714
1691528153140445000,0.39144482421875,-0.11114201501831411,-0.011427402943372725,-0.041039135744422674
1691528153150494200,0.401494140625,-0.09084507692083715,-0.017768296402692795,0.01070332645252347
1691528153160544300,0.411544189453125,0.004867752166837454,-0.012424012765288352,0.04569572937861085
1691528153170594000,0.421593994140625,0.07928893303126096,0.018194412860274314,0.037056934240460394
1691528153180644000,0.43164404296875,-0.0004186638034880161,0.0130319155305624,-0.008837824841588736
1691528153190694100,0.441694091796875,-0.005493190588802099,0.028932664495706556,0.003846884686499834
1691528153200744200,0.451744140625,-0.001892828009277582,0.04965221191942692,0.020464549749344585
1691528153210794000,0.4617939453125,0.04926102064475417,0.053069911408424375,0.033429537523537875
1691528153220844000,0.471843994140625,0.12225377614125608,0.03793488611876964,0.027255525063723324
1691528153230894000,0.48189404296875,0.12781857066154478,0.029423662883043288,0.00015577508360147476
1691528153240944000,0.491944091796875,0.08219313004016876,0.007381342422962189,-0.00610942279100418
1691528153250994000,0.501993896484375,0.03772138949856162,-0.0245475812792778,0.01647548011317849
1691528153261044000,0.5120439453125,0.05333659952059388,-0.02294891391098499,0.027381781791895626
1691528153271094000,0.522093994140625,0.08089081526994704,0.027198972570896148,-0.0064621817514300345
1691528153281144000,0.53214404296875,0.033358371983468534,-0.0046510406762361525,-0.028108780892193316
1691528153291193900,0.54219384765625,-0.04250891603603959,-0.14203355849683283,0.004670476029068231
1691528153301244000,0.552243896484375,-0.05538797909244895,-0.1426268482148647,0.022780425476282833
1691528153311294000,0.5622939453125,-0.002445785716921091,-0.028106150543689725,0.004467354672402143
1691528153321344300,0.57234423828125,0.07975202049836516,-0.01163023203909397,-0.04686418863609433
1691528153331394000,0.58239404296875,0.06625906332731246,-0.060814826446771615,-0.059224634645879265
1691528153341444000,0.592444091796875,0.03420622098445892,-0.054173488736152645,-0.03213233731985092
1691528153351494100,0.602494140625,-0.01742006748691201,-0.022333996883034706,-0.07026347666308283
1691528153361544200,0.612544189453125,-0.048536359632015226,0.004018587991595268,-0.058355742856860154
1691528153371594200,0.62259423828125,-0.05407967297285795,-0.011357844838500022,-0.028329584036022423
1691528153381644000,0.63264404296875,-0.07558306425064802,-0.004324292939901352,-0.011736176631599664
