time,seconds_elapsed,z,y,x
1691609048112626000,0.0306259765625,-0.005678622052073479,0.6699312329292297,-1.166387915611267
1691609048122671900,0.040671875,-0.004978210665285587,0.8219290375709534,-1.1225131750106812
1691609048132718800,0.05071875,-0.02212369628250599,0.8064563870429993,-0.9697868824005127
1691609048142764800,0.060764892578125,-0.041905924677848816,0.677217423915863,-0.7291771769523621
1691609048152810800,0.070810791015625,-0.05415210500359535,0.5113482475280762,-0.43362146615982056
1691609048162856700,0.080856689453125,-0.057354290038347244,0.30914825201034546,-0.16064932942390442
1691609048172903000,0.09090283203125,-0.040276769548654556,0.08774449676275253,0.03946405649185181
1691609048182948900,0.100948974609375,-0.006764352321624756,-0.1002562940120697,0.16176600754261017
1691609048192994800,0.110994873046875,0.038750506937503815,-0.25013765692710876,0.2056705802679062
1691609048203040800,0.121040771484375,0.07109752297401428,-0.3225702941417694,0.2390221506357193
1691609048213086700,0.131086669921875,0.08336260914802551,-0.3126649856567383,0.29088643193244934
1691609048223133000,0.1411328125,0.10624715685844421,-0.2509605884552002,0.34812816977500916
1691609048233179000,0.151178955078125,0.15269513428211212,-0.13727815449237823,0.34475594758987427
1691609048243225900,0.161225830078125,0.18869549036026,0.04405089095234871,0.2411598116159439
1691609048253271800,0.171271728515625,0.20291198790073395,0.2895374000072479,0.0596964992582798
1691609048263317800,0.18131787109375,0.2226470708847046,0.4904547929763794,-0.12499212473630905
1691609048273363700,0.19136376953125,0.23920883238315582,0.7502633929252625,-0.2748391032218933
1691609048283410000,0.201409912109375,0.27056434750556946,0.9245232939720154,-0.3892887234687805
1691609048293456000,0.211455810546875,0.32895350456237793,0.9504328370094299,-0.43973293900489807
1691609048303501800,0.221501708984375,0.3526761531829834,0.865317165851593,-0.4342537522315979
1691609048313547800,0.2315478515625,0.3441214859485626,0.6994865536689758,-0.35405683517456055
1691609048323593700,0.24159375,0.33010101318359375,0.5176544785499573,-0.1368531435728073
1691609048333640000,0.251639892578125,0.33368170261383057,0.3665598928928375,0.2361120581626892
1691609048343687000,0.26168701171875,0.33856990933418274,0.2687278687953949,0.6369132399559021
1691609048353732900,0.27173291015625,0.31502288579940796,0.12110650539398193,0.8799145221710205
1691609048363778800,0.28177880859375,0.2766515016555786,-0.14755184948444366,0.8874017000198364
1691609048373824800,0.29182470703125,0.3406277894973755,-0.25420379638671875,0.6991344690322876
1691609048383870700,0.30187060546875,0.41392359137535095,-0.30781057476997375,0.32654041051864624
1691609048393917000,0.3119169921875,0.33320000767707825,-0.26787444949150085,-0.02891441062092781
1691609048403963000,0.321962890625,0.15349122881889343,-0.3759170472621918,-0.26197028160095215
1691609048414008800,0.3320087890625,-0.0032164347358047962,-0.40614137053489685,-0.41393840312957764
1691609048424054800,0.3420546875,-0.08489931374788284,-0.24603480100631714,-0.4860658645629883
1691609048434101000,0.35210107421875,-0.0976073145866394,-0.03466276451945305,-0.4648255407810211
1691609048444147000,0.36214697265625,-0.0843500941991806,0.0872785896062851,-0.36226585507392883
1691609048454194000,0.37219384765625,-0.07236138731241226,0.12161523103713989,-0.23686033487319946
1691609048464239900,0.382239990234375,-0.057218387722969055,0.1426139920949936,-0.1585863083600998
1691609048474285800,0.392285888671875,-0.018799588084220886,0.15916360914707184,-0.09376968443393707
1691609048484331800,0.402331787109375,0.09388994425535202,0.1835871934890747,0.0264696404337883
1691609048494377700,0.412377685546875,0.14674198627471924,0.550182580947876,0.1949281543493271
1691609048504424000,0.422423828125,0.17626765370368958,0.5405962467193604,0.2433023452758789
1691609048514470000,0.432469970703125,0.18219663202762604,0.465349942445755,0.19765911996364594
1691609048524515800,0.442515869140625,0.15972594916820526,0.2844299376010895,0.07669887691736221
1691609048534561800,0.452561767578125,0.1545364409685135,0.16433170437812805,-0.04048796743154526
1691609048544608800,0.46260888671875,0.15663473308086395,0.0322442352771759,-0.1293155699968338
1691609048554654700,0.47265478515625,0.16527904570102692,-0.10796553641557693,-0.14025989174842834
1691609048564701000,0.482700927734375,0.1827256828546524,-0.23043525218963623,-0.0674261823296547
1691609048574747000,0.492746826171875,0.20804284512996674,-0.30140653252601624,0.03231626749038696
1691609048584792800,0.502792724609375,0.24292625486850739,-0.299115926027298,0.10031502693891525
1691609048594838800,0.5128388671875,0.2800953984260559,-0.24821266531944275,0.13164122402668
1691609048604884700,0.522884765625,0.29190412163734436,-0.16909708082675934,0.12281711399555206
1691609048614931000,0.532930908203125,0.28945958614349365,-0.09051232039928436,0.07383880019187927
1691609048624977000,0.542976806640625,0.3122740685939789,0.015605857595801353,0.025249699130654335
1691609048635022800,0.55302294921875,0.3665452301502228,0.15211862325668335,-0.003804884385317564
1691609048645068800,0.56306884765625,0.4419744908809662,0.25889888405799866,-0.05262302607297897
1691609048655115800,0.57311572265625,0.5228919386863708,0.31287842988967896,-0.12501895427703857
1691609048665161700,0.58316162109375,0.5985091924667358,0.29962414503097534,-0.21054930984973907
1691609048675208000,0.5932080078125,0.6502331495285034,0.23185020685195923,-0.24139267206192017
1691609048685254000,0.60325390625,0.7015479803085327,0.1398792713880539,-0.19212979078292847
1691609048695299800,0.6132998046875,0.7429801821708679,0.05710215121507645,-0.09027030318975449
1691609048705345800,0.623345703125,0.7598710060119629,0.0009065223857760429,0.01293597649782896
1691609048715392000,0.63339208984375,0.7592714428901672,-0.029168952256441116,0.10488005727529526
1691609048725438000,0.64343798828125,0.47579076886177063,-0.18175823986530304,0.1743834912776947
1691609048735484000,0.65348388671875,0.29879242181777954,-0.21790631115436554,0.2928556501865387
